date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:58	112/112	---MCZ	200	added ('OK')	text/plain	date:Sat,%2010%20May%202025%2002:57:48%20GMT	https://namhocit.com/robots.txt		(from )
11:51:59	137037/137037	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20May%202025%2004:51:59%20GMT	https://namhocit.com/	E:/WebBanGame/namhocit.com/index.html	(from )
11:51:59	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2010%20May%202025%2004:51:59%20GMT	https://namhocit.com/xmlrpc.php	E:/WebBanGame/namhocit.com/xmlrpc.php	(from https://namhocit.com/)
11:51:59	4771/4771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262aa0984-12a3%22	https://namhocit.com/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	E:/WebBanGame/namhocit.com/wp-content/themes/flatsome/assets/js/chunk.countup.fe2c1016.js	(from https://namhocit.com/)
11:52:00	10850/10850	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262aa0984-2a62%22	https://namhocit.com/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	E:/WebBanGame/namhocit.com/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.a58a6557.js	(from https://namhocit.com/)
11:52:00	16876/16876	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262aa0984-41ec%22	https://namhocit.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.29144c1c.js	E:/WebBanGame/namhocit.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.29144c1c.js	(from https://namhocit.com/)
11:52:00	341024/341024	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d8cbdf900f9cc50e378c262a8f018d53%22	https://namhocit.com/feed/	E:/WebBanGame/namhocit.com/feed/index.html	(from https://namhocit.com/)
11:52:01	20237/20237	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262aa0984-4f0d%22	https://namhocit.com/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.947eca5c.js	E:/WebBanGame/namhocit.com/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.947eca5c.js	(from https://namhocit.com/)
11:52:01	5769/5769	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d8cbdf900f9cc50e378c262a8f018d53%22	https://namhocit.com/comments/feed/	E:/WebBanGame/namhocit.com/comments/feed/index.html	(from https://namhocit.com/)
11:52:01	49648/49648	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262aa0984-c1f0%22	https://namhocit.com/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js	E:/WebBanGame/namhocit.com/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.f0d2cbc9.js	(from https://namhocit.com/)
